repository,principle,missing,action,priority,potential_points
https://github.com/biofold/sco-benchmark-experiments,Findable,Repository topics,Add relevant topics to repository settings on GitHub,Low,5
https://github.com/biofold/sco-benchmark-experiments,Findable,GitHub releases,Create a release with version tag for stable versions,Low,5
https://github.com/biofold/sco-benchmark-experiments,Findable,Documentation wiki,Enable wiki and add basic documentation on GitHub,Low,5
https://github.com/biofold/sco-benchmark-experiments,Findable,License in metadata,Include license information in metadata files,Low,5
https://github.com/biofold/sco-benchmark-experiments,Accessible,Access rights in metadata,"Specify access rights (open, restricted, closed) in metadata",Low,20
https://github.com/biofold/sco-benchmark-experiments,Interoperable,Controlled vocabularies,Use controlled vocabularies/ontologies for metadata fields,Low,15
https://github.com/biofold/sco-benchmark-experiments,Interoperable,Usage scripts,Add Python/R scripts demonstrating how to load and use the data,Low,10
https://github.com/biofold/sco-benchmark-experiments,Interoperable,Format information,"Include format information (MIME types, extensions) in metadata",Low,10
https://github.com/biofold/sco-benchmark-experiments,Reusable,Contact information,"Include contact information (email, ORCID) in metadata",Medium,10
https://github.com/biofold/sco-benchmark-experiments,Reusable,Issue templates,Add .github/ISSUE_TEMPLATE/ for structured bug reports and feature requests,Low,5
https://github.com/elixir-europe/sco-community,Findable,DOI or Persistent ID,"Register dataset with Zenodo/Figshare to get DOI, include in metadata",High,15
https://github.com/elixir-europe/sco-community,Findable,Repository topics,Add relevant topics to repository settings on GitHub,Low,5
https://github.com/elixir-europe/sco-community,Findable,Project website,Add homepage URL in repository settings or README,Low,5
https://github.com/elixir-europe/sco-community,Findable,GitHub releases,Create a release with version tag for stable versions,Low,5
https://github.com/elixir-europe/sco-community,Findable,Documentation wiki,Enable wiki and add basic documentation on GitHub,Low,5
https://github.com/elixir-europe/sco-community,Findable,License in metadata,Include license information in metadata files,Low,5
https://github.com/elixir-europe/sco-community,Accessible,Access rights in metadata,"Specify access rights (open, restricted, closed) in metadata",Low,20
https://github.com/elixir-europe/sco-community,Accessible,Download instructions,Add 'Getting Started' section to README with clear steps,Medium,15
https://github.com/elixir-europe/sco-community,Interoperable,Data schema,Add schema.json or data_dictionary.md describing data structure,Medium,20
https://github.com/elixir-europe/sco-community,Interoperable,Controlled vocabularies,Use controlled vocabularies/ontologies for metadata fields,Low,15
https://github.com/elixir-europe/sco-community,Interoperable,Format information,"Include format information (MIME types, extensions) in metadata",Low,10
https://github.com/elixir-europe/sco-community,Reusable,Citation file,Add CITATION.cff file for proper academic citation,Low,20
https://github.com/elixir-europe/sco-community,Reusable,Provenance information,"Add provenance information (creation date, version, history) in metadata",Low,15
https://github.com/elixir-europe/sco-community,Reusable,Examples/notebooks,Create examples/ directory with Jupyter notebooks or scripts,Low,15
https://github.com/elixir-europe/sco-community,Reusable,Contact information,"Include contact information (email, ORCID) in metadata",Medium,10
https://github.com/elixir-europe/sco-community,Reusable,Detailed README,"Expand README with sections: Installation, Usage, Examples, API, Contributing",Low,10
https://github.com/elixir-europe/sco-community,Reusable,Issue templates,Add .github/ISSUE_TEMPLATE/ for structured bug reports and feature requests,Low,5
https://github.com/kendomaniac/B1,Findable,Metadata file,Add metadata.json following schema.org or DataCite schema,Medium,25
https://github.com/kendomaniac/B1,Findable,Structured metadata,Add structured metadata file (JSON/YAML/XML) in bioschema/ or metadata/ directory,High,20
https://github.com/kendomaniac/B1,Findable,DOI or Persistent ID,"Register dataset with Zenodo/Figshare to get DOI, include in metadata",High,15
https://github.com/kendomaniac/B1,Findable,Repository topics,Add relevant topics to repository settings on GitHub,Low,5
https://github.com/kendomaniac/B1,Findable,GitHub releases,Create a release with version tag for stable versions,Low,5
https://github.com/kendomaniac/B1,Findable,Documentation wiki,Enable wiki and add basic documentation on GitHub,Low,5
https://github.com/kendomaniac/B1,Findable,License in metadata,Include license information in metadata files,Low,5
https://github.com/kendomaniac/B1,Accessible,Open license,"Add LICENSE file with MIT, Apache, CC-BY, or other open license",High,25
https://github.com/kendomaniac/B1,Accessible,Access rights in metadata,"Specify access rights (open, restricted, closed) in metadata",Low,20
https://github.com/kendomaniac/B1,Accessible,Download instructions,Add 'Getting Started' section to README with clear steps,Medium,15
https://github.com/kendomaniac/B1,Interoperable,Standard formats,"Convert data to CSV, JSON, HDF5, or other standard formats",Medium,25
https://github.com/kendomaniac/B1,Interoperable,Data schema,Add schema.json or data_dictionary.md describing data structure,Medium,20
https://github.com/kendomaniac/B1,Interoperable,Standard metadata schema,"Use standard metadata schema like Schema.org, DataCite, or Bioschemas",Medium,20
https://github.com/kendomaniac/B1,Interoperable,Controlled vocabularies,Use controlled vocabularies/ontologies for metadata fields,Low,15
https://github.com/kendomaniac/B1,Interoperable,Usage scripts,Add Python/R scripts demonstrating how to load and use the data,Low,10
https://github.com/kendomaniac/B1,Interoperable,Format information,"Include format information (MIME types, extensions) in metadata",Low,10
https://github.com/kendomaniac/B1,Reusable,LICENSE file,Add explicit LICENSE file with clear terms of use,High,25
https://github.com/kendomaniac/B1,Reusable,Citation file,Add CITATION.cff file for proper academic citation,Low,20
https://github.com/kendomaniac/B1,Reusable,Provenance information,"Add provenance information (creation date, version, history) in metadata",Low,15
https://github.com/kendomaniac/B1,Reusable,Examples/notebooks,Create examples/ directory with Jupyter notebooks or scripts,Low,15
https://github.com/kendomaniac/B1,Reusable,Contact information,"Include contact information (email, ORCID) in metadata",Medium,10
https://github.com/kendomaniac/B1,Reusable,Detailed README,"Expand README with sections: Installation, Usage, Examples, API, Contributing",Low,10
https://github.com/kendomaniac/B1,Reusable,Issue templates,Add .github/ISSUE_TEMPLATE/ for structured bug reports and feature requests,Low,5
